,address,city,latitude,longitude,name,postal_code,review_count,stars,state
1317,"16605 E Palisades Blvd, Ste 102",Fountain Hills,33.6088013816,-111.7218312955,Little Caesars,85268,12,3.0,AZ
1375,2387 Yonge Street,Toronto,43.7097839401,-79.3988528475,Gino's Pizza & Wing Machine,M4P 2H4,8,2.0,ON
1385,3755 S Las Vegas Blvd,Las Vegas,36.1055294,-115.1721951,Voodoo Pizza,89109,20,3.5,NV
1498,8280 W Union Hills Dr,Glendale,33.6531023,-112.2357715,NYPD Pizza,85308,110,4.0,AZ
1584,1900 Murray Ave,Pittsburgh,40.4358226,-79.9230998,"Pastoli's Pizza, Pasta & Paisans",15217,96,4.5,PA
1654,4710 17 Avenue SE,Calgary,51.0386268,-113.9667961,Pizza Hut,T2A 0V1,10,3.5,AB
1716,247 Atwood St,Pittsburgh,40.4401567,-79.9561451,Antoon's Pizza,15213,24,3.5,PA
1739,"32619 N Scottsdale Rd, Ste 110",Scottsdale,33.7814775,-111.9257498,Adaptive Force Performing Arts,85266,13,4.0,AZ
1799,4105 4 St NW,Calgary,51.0876665,-114.0716434,Stavro's Sports Bar,T2K 1A3,14,2.5,AB
1817,3010 Crossroads Dr,Madison,43.1354685,-89.2908458,Uno Pizzeria & Grill,53718,82,3.0,WI
1852,44 Monongahela Ave,Glassport,40.334864,-79.8911938,Mama Pepino's Pizza & Pub,15045,9,3.5,PA
1874,147 Spadina Avenue,Toronto,43.6481372,-79.3956847,Fusaro's Kitchen,M5V 2L7,120,4.0,ON
1934,514B Annette Street,Toronto,43.6602773,-79.4797994,Buddha Pie,M6P 1S3,45,3.5,ON
1982,8542 University City Blvd,Charlotte,35.2957655,-80.73917,Amalfi's Pasta 'n' Pizza,28213,81,3.5,NC
1989,"11435 W Buckeye Rd, Ste A104",Avondale,33.434326,-112.305348,1 Brothers Pizza,85323,61,4.0,AZ
2013,400 Freeport St,New Kensington,40.5572525,-79.7608845,Stella's Restaurant,15068,17,4.0,PA
2030,797 Bishop Rd,Cleveland,41.5395116,-81.4780912,LaRich's Pizza,44143,7,3.5,OH
2071,224 E 7th St,Charlotte,35.2275824427,-80.8379116706,Pure Pizza,28202,259,4.0,NC
2268,2040 E Craig Rd,North Las Vegas,36.2402127,-115.1207086,Sophia's Pizza & Subs,89030,6,2.0,NV
2291,1509 Potomac Ave,Pittsburgh,40.3966855,-80.0356409,Don Campiti's Pizzeria,15216,54,4.0,PA
2295,"214 N Tryon St, Ste 130",Charlotte,35.227845,-80.840053,Fuel Pizza,28202,74,2.5,NC
2332,"28 Roytech Road, Unit 12a",Vaughan,43.8037244,-79.5498947,Ciao Roma,L4L 8E3,49,4.5,ON
2405,"9587 Weston Road, Unit 6",Vaughan,43.8341051021,-79.5572428371,Pizza Zozan,L4H,5,4.5,ON
2413,3832 Penn Ave,Pittsburgh,40.4645039,-79.9602215,New Way Gourmet,15201,9,4.5,PA
2426,3348 Rte 130,Harrison City,40.3550315,-79.6504518,Aiello's Pizzeria,15636,43,4.5,PA
2430,"10039 University City Blvd, Ste C",Charlotte,35.3110293,-80.716159,Hungry Howie's Pizza,28262,15,2.5,NC
2467,128-45 Overlea Boulevard,Toronto,43.7102476,-79.3353305,Chunky Chicken,M4H 1C3,4,4.0,ON
2544,415 E Windmill Ln,Las Vegas,36.0412884,-115.1540375,Express Pizza,89123,49,3.0,NV
2585,3352 Oberlin Ave,Lorain,41.440102,-82.185766,Eliseo's Pizza,44053,3,2.5,OH
2632,3160 Library Rd,Pittsburgh,40.3717019,-80.0090216,The Coal Mine,15234,4,4.0,PA
2676,54 21st St,Pittsburgh,40.4520554,-79.9837546,Brunoise Restaurant,15222,18,4.5,PA
2747,2056 Saxonburg Blvd,Gibsonia,40.6255772935,-79.8607573175,Round The Corner Carry Out,15044,9,5.0,PA
2758,127 Jefferson Avenue,Toronto,43.6396613343,-79.4219483696,Magic Oven,M6K 3E4,23,2.5,ON
2788,95 Holland Street W,Bradford West Gwillimbury,44.1135324,-79.5682291,Lemar's Pizza,L3Z 2Y1,27,4.5,ON
2817,120 Eringate Drive,Etobicoke,43.6599362,-79.5832703,Pizza Pizza,M9C 3Z8,3,2.5,ON
2826,7901 Avenue André Ampère,Montréal,45.634278,-73.5939136,La Rotonda,H1E 3N1,4,2.5,QC
2912,"9516 W Flamingo Rd, Ste 100",Las Vegas,36.1158229,-115.2996399,Sammy's Woodfired Pizza and Grill,89147,169,3.5,NV
3039,75 E Rivulon Blvd,Gilbert,33.2855733436,-111.7878640971,Sauce Pizza & Wine,85297,66,3.5,AZ
3109,28931 Lorain Rd,North Olmsted,41.4071441722,-81.9420079177,Romeo's Pizza,44070,10,4.0,OH
3137,3746 E Franklin Blvd,Gastonia,35.2593786197,-81.1130197521,Cicis,28056,10,2.0,NC
3140,4923 Dundas Street W,Toronto,43.6485461,-79.52892,6th Street Gastro Pub & Pizza,M9A 1B8,18,3.5,ON
3311,5-4681 Highway 7 E,Markham,43.8612259038,-79.3116023107,Domino's Pizza,L3R 1M6,5,4.0,ON
3346,15745 N Hayden Rd,Scottsdale,33.6282559148,-111.8928736698,Peter Piper Pizza,85260,41,3.5,AZ
3377,10648 S Maryland Pkwy,Las Vegas,35.9968968,-115.1371786,Cactus Jacks Saloon,89183,52,3.5,NV
3387,840 Gill Hall Rd,Jefferson Hills,40.300187,-79.9623986,Banana Peppers,15025,9,4.0,PA
3405,785 Som Center Rd,Mayfield,41.540021,-81.438065,Pizza Roma,44143,29,4.0,OH
3534,3840 Center Rd,Brunswick,41.23761,-81.824097,Savory Sub Cafe,44212,10,3.0,OH
3545,,Las Vegas,36.1922841,-115.1592718,Engine 1 Pizza,89106,13,4.0,NV
3581,"Miracle Mile Shopping Area, 3667 Las Vegas Blvd, Ste 450",Las Vegas,36.1100668,-115.172501,D'Amore's Famous Pizza,89109,45,3.0,NV
3586,"O' Aces Bar, 3003 N Rainbow",Las Vegas,36.2138478,-115.2426033,Angelinas Pizza,89108,3,2.5,NV
3588,1075 Falconridge Drive NE,Calgary,51.0990089086,-113.9556113631,Enerje Bubble Tea Cafe,T3J,13,4.5,AB
3619,"2 Tall Grass Trail, Unit 4",Woodbridge,43.78211,-79.573013,That's Italian Ristorante,L4L 3Y9,70,4.5,ON
3658,1450 W Horizon Ridge Pkwy,Henderson,36.0232603,-115.0483136,Jesse's Pizza,89012,161,4.0,NV
3712,700 E Cuyahoga Falls Ave,Akron,41.1152272,-81.4938175,New York Style Pizza & Deli,44310,8,3.5,OH
3835,"2990 E Germann Rd, Ste 7",Chandler,33.2200077859,-111.8664780317,Streets of New York,85286,14,2.5,AZ
3851,250 Crowfoot Crescent NW,Calgary,51.1289321,-114.1984072,Pizza 73,T3G 3N5,3,2.5,AB
3903,5430 Centre Ave,Pittsburgh,40.455947,-79.9373708,Little Caesars,15232,11,2.0,PA
3915,208 W Southern Ave,Tempe,33.393559,-111.942318,Red Devil Italian Restaurant & Pizzeria,85282,112,3.5,AZ
3984,1722 Mt Royal Blvd,Glenshaw,40.5263857,-79.9633474,Franks Pizza  and Chicken,15116,26,3.0,PA
3987,4065 Penn Ave,Pittsburgh,40.4655697,-79.9557517,The Grateful Deli & Catering Company,15224,8,4.0,PA
4018,136 Queen Street S,Mississauga,43.5830192094,-79.7158778831,Gino's Pizza,L5M 1K8,5,3.5,ON
4022,101 W Main St,Sun Prairie,43.1831104,-89.2138433,Glass Nickel Pizza,53590,41,2.5,WI
4024,6515 S Jones Blvd,Las Vegas,36.0702792,-115.2249525,Sierra Gold,89118,231,3.5,NV
4025,11146 Renaissance Dr,Davidson,35.4423171024,-80.76308319,DiMaggio's,27262,27,3.5,NC
4072,2495 Boul Saint-Martin E,Laval,45.5997278,-73.6846365,Buon Gusto,H7E 4X6,5,3.0,QC
4134,1736 Kingston Road,Scarborough,43.6930758,-79.2625249,Enrico's Pizza,M1N 1S9,3,2.5,ON
4149,5737 Chemin de la Cote-des-Neiges,Montréal,45.4992253,-73.6281621,Blanche Neige,H3S 1Y7,21,3.5,QC
4314,8334 Pineville-Matthews Rd,Charlotte,35.088038,-80.860588,Hungry Howie's Pizza,28226,17,3.0,NC
4357,89 Lakeshore Road E,Mississauga,43.552990199999996,-79.5841453,Gino's Pizza,L5G 1E1,6,2.5,ON
4383,1385 Rue Ontario E,Montréal,45.5234194,-73.5611614,Vegan Rapide,H2L 1S1,8,4.0,QC
4401,8801 Denison Ave,Cleveland,41.4640005,-81.7450118,Athens Pizzeria,44102,8,3.5,OH
4414,5619 Brecksville Rd,Independence,41.4105803,-81.6396483,Verso Craft Kitchen & Bar,44131,11,3.5,OH
4422,6816 Matthews-Mint Hill Rd,Mint Hill,35.1704967136,-80.6608630869,Marco's Pizza,28227,26,3.0,NC
4433,"953 E Sahara Ave, Ste E33",Las Vegas,36.1418287187,-115.1421265609,Italian Oasis Pizzeria,89104,58,4.5,NV
4453,"3150 Hwy 21, Ste 110",Fort Mill,35.0777,-80.934317,Carmellas Pizza Grill,29715,73,3.0,SC
4465,3335 Sheppard Ave E,Scarborough,43.778649,-79.308264,Remezzo Italian Bistro,M1T 3K2,140,3.5,ON
4494,5 High Street SE,Calgary,50.916253,-113.960531,Famoso Pizzeria,T2Z,58,4.0,AB
4537,15439 W High St,Middlefield,41.4628422,-81.0906965,Vinny's Authentic Italian Eatery,44062,17,3.5,OH
4543,4520 Potter Rd,Stallings,35.0840037,-80.696743,New York Pizza Express,28104,42,4.0,NC
4565,"6370 W. Flamingo Road, #17C",Las Vegas,36.115157,-115.2319877,Pizza Hut,89103,50,2.0,NV
4575,1986 Weston Road,Toronto,43.7008781042,-79.5193493081,Weston Favourites,M9N 1W8,3,3.5,ON
4578,1662 De Maisonneuve Ouest,Montréal,45.4948224,-73.5799237,Pizzeria Angela,H3H 1J7,48,3.0,QC
4601,5779 Rue Sherbrooke O,Montréal,45.470124,-73.617084,Pizzeria Melrose,H4A 1X2,21,3.5,QC
4616,"1837 W Guadalupe Rd, Ste 122",Mesa,33.363662,-111.873617,Native Grill & Wings,85202,138,3.0,AZ
4781,4024 N 67th Ave,Phoenix,33.4934232,-112.204681,Peter Piper Pizza,85033,14,3.5,AZ
4784,12260 Yonge Street,Richmond Hill,43.9264369542,-79.4513516204,Pizza Nova,L4E 0B8,6,3.0,ON
4798,"16948 E Shea Blvd, Ste 104",Fountain Hills,33.5739018113,-111.7141366797,That Guy's Pizza,85268,56,3.0,AZ
4808,1804 Crowchild Trail NW,Calgary,51.0684064,-114.1166808,Courtyard Restaurant and Rockies Sports Bar,T2M 3Y7,3,3.5,AB
4832,16734 Royalton Rd,Strongsville,41.3145385682,-81.8175763626,1000 Degrees Neapolitan Pizzeria,44136,33,4.5,OH
5005,14523 Madison Ave,Lakewood,41.4769713,-81.7968525,sarita a restaurant,44107,124,4.0,OH
5044,106 N Main St,Belmont,35.2443065,-81.0376627,Johnny B's Pizza Pad & Watering Hole,28012,54,4.0,NC
5085,"751 3rd Street SW, Unit 429",Calgary,51.045814,-114.07041,Ripe Tomato Pizza,T2P 0R9,13,3.0,AB
5106,2143 Zeier Rd,Madison,43.1270503,-89.3013786,Fazoli's,53704,29,2.0,WI
5118,"9619 N Hayden Rd, Ste 101",Scottsdale,33.5737714,-111.9054939,Fired Pie,85258,101,4.0,AZ
5131,592 Ellesmere Road,Scarborough,43.7637357,-79.2920401,Pizza Hut,M1R 4E9,19,2.5,ON
5160,1110 5th Ave,Coraopolis,40.5165739,-80.1622307,Pizza Plaza,15108,12,4.5,PA
5259,21 Chemin de la Grande-Côte,Boisbriand,45.6193537,-73.8130869,Château d'Or,J7G 1C8,4,5.0,QC
5300,2350 Noblestown Rd,Pittsburgh,40.4276163,-80.0555006,Mineo's Pizza,15205,20,2.0,PA
5320,2885 Leechburg Rd,New Kensington,40.5897698975,-79.7250798717,Domino's Pizza,15068,9,2.0,PA
5355,324 Aurora Commons Cir,Aurora,41.3150215295,-81.3572040344,Angelo's Pizzeria & Restaurant,44202,35,3.5,OH
5424,6619 McKee Rd,Madison,43.0146904387,-89.4983652026,Papa John's Pizza,53719,14,2.5,WI
5522,"5105 E. Sahara Ave., #128",Las Vegas,36.1441807,-115.0628631,Pizza Hut,89142,29,2.0,NV
5569,"849 N Dobson Rd, Ste 112",Mesa,33.4331241538,-111.8687808444,Rosati's Pizza Sports Pub,85201,109,3.0,AZ
5642,505 Promenade du Centropolis,Laval,45.561769,-73.746688,Enoteca Monza,H7T 0A3,56,3.5,QC
5664,4515 Mayfield Rd,Cleveland,41.5200521065,-81.5191021934,Loparo's Pizza,44121,3,4.5,OH
5716,7970 Lyles Ln NW,Concord,35.3644868,-80.7165474,Chuck E. Cheese's,28027,16,3.0,NC
5875,1525 Potomac Ave,Pittsburgh,40.3970227,-80.0358948,Molly's Pizza,15216,48,3.0,PA
5891,901 Olivia Pkwy,Henderson,36.07869,-114.967008,Slice 19,89011,47,3.5,NV
5909,990 Danforth Avenue,Toronto,43.6804889,-79.3375786,City Fried Chicken and Pizza,M4J 1L9,15,4.0,ON
5913,11 E 6th St,Tempe,33.4243474,-111.9398364,Slices,85281,115,3.5,AZ
5921,130 Davis Drive,Newmarket,44.0550795,-79.474812,Pizza Hut,L3Y 2N1,3,1.5,ON
5950,102 Saint-Viateur O,Montréal,45.5244186,-73.6000477,Farine,H2T 2L1,22,4.5,QC
5967,612 Penn Ave,Wilkinsburg,40.4438184,-79.8853354,Salvatore's Pizza House,15221,19,4.0,PA
5970,274 S. Decatur Blvd.,Las Vegas,36.1715690619,-115.2090418909,Pizza Hut,89107,30,2.5,NV
6110,1275 Eglinton Avenue E,Mississauga,43.6342405,-79.6241549,La Sem Patisserie,L4W 2Z2,17,3.5,ON
6134,7786 W 130th St,Cleveland,41.3516273,-81.7855659,Alfonso's Restaurante & Catering,44130,22,2.0,OH
6155,2015 S Alma School Rd,Mesa,33.378424,-111.859229,Fired Pie,85210,17,4.0,AZ
6156,1000 S Rampart Blvd,Las Vegas,36.1604696,-115.2898891,East Side Pizza,89145,129,3.0,NV
6201,710 St-Catherine O,Montréal,45.5025316,-73.5703432,Zestos Pizza,H3B 1B9,11,3.5,QC
6350,6500 W Sahara Ave,Las Vegas,36.144469052,-115.2366719569,Sammy's Woodfired Pizza and Grill,89146,343,4.0,NV
6369,1710 Duncan Ave,Allison Park,40.5661986,-79.9982161,Bellisario's Restaurant,15101,5,3.0,PA
6415,471 Cosburn Avenue,Toronto,43.692827199999996,-79.3339954,Corrado's Authentic Italian Cuisine,M4J 2N5,5,4.0,ON
6467,4435 Park Rd,Charlotte,35.1708909,-80.8504498,Duckworth's Kitchen & Taphouse,28209,353,4.0,NC
6473,1960 W Baseline Rd,Mesa,33.3788438,-111.8772131,Jimmy and Joe's Pizzeria,85202,134,3.0,AZ
6506,730 E Brown Rd,Mesa,33.4361409,-111.815404,Little Caesar's Pizza,85203,12,4.0,AZ
6526,4825 S Fort Apache Rd,Las Vegas,36.1013505,-115.2983204,Boca Do Brasil,89147,121,4.0,NV
6546,6960 S Rainbow Blvd,Las Vegas,36.0621940089,-115.2418562125,Egg Works,89118,999,4.5,NV
6581,"10989 E Dynamite Blvd, Ste 102",Scottsdale,33.72979,-111.83618,Rosati's Pizza,85262,73,2.0,AZ
6582,219 Fourth Ave,Pittsburgh,40.4399009,-80.0023653,Ephesus Pizza - Pittsburgh,15222,115,3.5,PA
6679,2247 Professor Ave,Cleveland,41.4816154,-81.6863595,Coda,44113,10,4.0,OH
6694,6952 E Main St,Scottsdale,33.4932262,-111.9310373,Grazie,85251,337,3.5,AZ
6736,427 Cleveland St,Elyria,41.374399931,-82.0860510574,Cozzeria Pizzeria,44035,25,5.0,OH
6764,5020 Broadbent Blvd,Las Vegas,36.0974279,-115.0297551,Alexander's Pizza,89122,96,3.5,NV
6799,"3345 Penn Ave, Ste 200",Pittsburgh,40.4626419,-79.9677704,Alida's Woodfire Cucina,15201,38,4.0,PA
7018,7120 E Becker Ln,Scottsdale,33.583195,-111.9273603,Il Bosco Pizza,85254,367,4.5,AZ
7054,15180 Bagley Rd,Middleburg Heights,41.369813,-81.804286,Master Pizza,44130,10,3.5,OH
7118,7210 Airport Road,Mississauga,43.707728,-79.647878,Veggie Flames,L4T 2H3,8,4.0,ON
7223,950 E Riggs Rd,Chandler,33.2204347,-111.8248942,Barro's Pizza,85249,65,3.5,AZ
7235,5503 Eglinton Avenue W,Etobicoke,43.6532211,-79.6007767,Mickele's Bistro,M9C 5K5,13,3.0,ON
7250,1134  Boulevard Marcel-Laurin,Montréal,45.5101248594,-73.6897272265,Ottavio,H4R 1J7,23,3.5,QC
7275,7025 Danton Promenade,Mississauga,43.586855,-79.773675,Pizzaville,L5N 5E5,5,4.5,ON
7301,9611 Brookdale Dr,Charlotte,35.2831030494,-80.6689347506,Capriccio,28215,102,4.5,NC
7320,1640 N 36th St,Phoenix,33.466738,-112.004673,Pizza Patron,85008,7,3.0,AZ
7341,21001 N Tatum Blvd,Phoenix,33.6757978731,-111.9710667059,Slices,85050,79,3.0,AZ
7373,"2510 W Thunderbird Rd, Ste 6",Phoenix,33.611424,-112.1106287,Barro's Pizza,85023,110,3.5,AZ
7387,1235 Long Run Rd,White Oak,40.3369138,-79.8100027,Pizza Hut,15131,3,2.5,PA
7532,149 W McDowell Rd,Phoenix,33.465462,-112.078017,Hob Nobs,85003,307,4.0,AZ
7605,3443 Rue Saint-Denis,Montréal,45.517522,-73.568246,La Demande Générale,H2X 3L1,49,4.5,QC
7700,107 344 Front Street W,Toronto,43.6433776,-79.3920218,Dominos,M5V,14,1.5,ON
7743,912 E Johnson St,Madison,43.0848916371,-89.3759002537,Salvatore's Tomato Pies,53703,193,4.5,WI
7746,"560 N. Nellis Blvd, Ste E1",Las Vegas,36.169353,-115.061694,Pizza Hut,89110,23,2.5,NV
7748,9055 Airport Rd,Brampton,43.7454278473,-79.6975182553,East Side Mario's,L6S 0B8,18,2.0,ON
7752,3937 E Indian School Rd,Phoenix,33.4940588,-111.9958268,Pizza on 40th,85018,109,4.0,AZ
7758,1054 Gerrard Street E,Toronto,43.6692354,-79.33609,Aprilé Bambina,M4M 1Z8,33,4.0,ON
7793,1617 N Granite Reef Rd,Scottsdale,33.4666648,-111.900125,Long Wong's,85257,39,3.5,AZ
7818,"2400 E Camelback Rd, Ste 112",Phoenix,33.510599,-112.029753,California Pizza Kitchen at Biltmore,85016,156,3.5,AZ
7848,12859 Brookpark Rd,Parma,41.417972,-81.7787904,RollHouse Parma,44130,10,4.0,OH
7897,,Cleveland,41.4766201,-81.5047772,kiddy's kingdom,44122,4,1.0,OH
7995,15191 Pearl Rd,Strongsville,41.3054447999,-81.83473,PIZZAFIRE,44136,36,3.0,OH
8034,259 Morningside Avenue,Scarborough,43.7705231,-79.1864221,Pizza Hut,M1E 2M9,6,1.5,ON
8087,21050 N Tatum Blvd,Phoenix,33.6780427039,-111.9786992647,Humble Pie,85050,284,3.5,AZ
8110,328 Curry Hollow Rd,Pittsburgh,40.3376297447,-79.9774027947,Quattro Pizza,15236,13,4.0,PA
8171,7412 Detroit Ave,Cleveland,41.4827699,-81.7362458,Happy's Pizza,44102,18,2.0,OH
8187,4315 W Glendale Ave,Glendale,33.5370013,-112.152069,Peter Piper Pizza,85301,22,2.5,AZ
8220,1932 E University Dr,Tempe,33.422542,-111.903543,Original Geno's Pizza & Cheesesteak,85281,185,3.0,AZ
8534,835 Seven Hills Dr,Henderson,35.9966966,-115.124668,Angelina's Pizzeria,89052,264,3.0,NV
8581,"209 S Stephanie St, Ste D",Henderson,36.020876,-115.047722,Domino's Pizza,89012,33,2.5,NV
8725,"410 S Rampart Blvd, Ste 120",Las Vegas,36.1672799,-115.2862703,Social Bistro & Wine Bar,89145,26,3.5,NV
8781,761 Dundas Street W,Toronto,43.6519931,-79.4067119,Atsa Matta For You? Trattoria,M6J 1T9,5,4.5,ON
8782,800 Danforth Avenue,Toronto,43.6797669,-79.3416051,Mr Pide,M4J 1L6,69,4.5,ON
8784,"50 Anderson Avenue, Unit 6",Markham,43.9008489,-79.264781,My Little Pizzeria & Deli,L6E 1A6,31,4.0,ON
8836,1624 Lincoln Way,White Oak,40.3469831,-79.8171641,Fellinis Pizzeria,15131,4,2.5,PA
8847,1514 14 St SW,Calgary,51.0388535,-114.0945814,Vogglio D'pizza,T3C 1C9,9,3.5,AB
8871,5813 Main St,Mc Farland,43.0141369,-89.2886944,Spartan Pizza,53558,17,4.0,WI
8882,1635 E Baseline Rd,Phoenix,33.3771567,-112.0456329,Senor Pizza,85042,42,4.5,AZ
8884,"2540 Anthem Village Dr, Ste 100, Bldg B",Henderson,36.0351,-114.9766,Phat Karmines Pizza,89077,3,3.0,NV
8999,6622 E Superstition Spgs Blvd,Mesa,33.385447,-111.689243,BJ's Restaurant & Brewhouse,85206,300,3.5,AZ
9032,"754 S Val Vista Dr, Ste 103",Gilbert,33.3371177,-111.7571813,Domino's Pizza,85296,34,3.0,AZ
9043,"6215 Old Post Rd, Ste 101",Charlotte,35.1784992,-80.7566172,Hawthorne's NY Pizza & Bar,28212,30,4.0,NC
9114,2 Rue de la Commune Ouest,Montréal,45.4988220371,-73.5528670841,Müvbox,H2Y 2E2,25,3.0,QC
9175,7040 N 16th St,Phoenix,33.5387916,-112.0480464,Papa John's Pizza,85020,20,3.5,AZ
9207,3020 Bathurst Street,Toronto,43.7179752,-79.4296919,Slice N Bites,M6B 3B6,3,4.5,ON
9216,1220 9 Avenue SE,Calgary,51.0418502933,-114.0355013055,Domino's,T2G 0T1,3,3.5,AB
9238,6386 W Lake Mead Blvd,Las Vegas,36.1964168,-115.2325496,Mr Eat'z,89108,70,3.5,NV
9260,"1903 N Neil St, Unit D",Champaign,40.1392818536,-88.2446583173,Lovely Nails,61820,15,4.0,IL
9280,3060 W Liberty Ave,Pittsburgh,40.3920559,-80.0382876,Vocelli Pizza,15216,9,4.0,PA
9309,3565 Harts Run Rd,Pittsburgh,40.545767,-79.9020714,Jack's Pizza & Hoagies,15238,3,3.5,PA
9424,"5943 E Mckellips Rd, Ste 102, Falcon View Shopping Center",Mesa,33.450159,-111.7021,Desert Peaks Pizza & Grille,85215,29,3.5,AZ
9454,2955 W Market St,Fairlawn,41.1288170422,-81.608911939,Mr G's Pizzeria & Wings,44333,76,3.5,OH
9530,1380 N Litchfield Rd,Goodyear,33.4604214,-112.358244,Naked Pizza,85395,20,3.5,AZ
9590,"371 Old Kingston Road, Unit 12A",Toronto,43.7834364,-79.169776,Louis Souvlaki & Grill,M1C 1B7,12,3.5,ON
9677,13434 Cedar Rd,Cleveland,41.5011446,-81.556872,pizzaBOGO,44118,74,4.0,OH
9678,2908 Oak Lake Blvd,Charlotte,35.190366,-80.922471,Junior's Pizzeria,28208,89,4.0,NC
9736,"15205 John J Delaney Dr, Ste A",Charlotte,35.0540182408,-80.846992,Libretto's Pizzeria,28277,150,3.0,NC
9760,4 Kenwood Avenue,Toronto,43.6825793,-79.4222757,Da-Maria Pizzeria & Spaghetti House,M6C 2R7,17,2.5,ON
9836,1500 Scenic Park Loop Trl,Lakewood,41.4790449,-81.8312452,Nelly Belly,44107,16,3.5,OH
9845,4933 Commercial Ave,Madison,43.1055563606,-89.2966957014,Rosati's Authentic Chicago Pizza,53704,21,3.0,WI
